date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:43	85829/85829	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2004:19:43%20GMT	https://satumomen.com/preview/melayu	D:/Copy-web/satumomen.com/preview/melayu.html	(from )
11:19:44	83/83	---MCZ	200	added ('OK')	text/plain	etag:W/%2264739ad7-43%22	https://satumomen.com/robots.txt		(from )
11:19:44	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%2264aaefd9-11846%22	https://satumomen.com/plugins/animate.css@4.1.1/animate.min.css	D:/Copy-web/satumomen.com/plugins/animate.css@4.1.1/animate.min.css	(from https://satumomen.com/preview/melayu)
11:19:44	70315/70315	---MCZ	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2012:48:13%20GMT	https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css	D:/Copy-web/unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css	(from https://satumomen.com/preview/melayu)
11:19:45	146856/146856	---MCZ	200	added ('OK')	text/css	etag:W/%22bb47241413ae2729ec621f61520c5083%22	https://assets.satumomen.com/build/assets/bootstrap-vCaDZZbr.css	D:/Copy-web/assets.satumomen.com/build/assets/bootstrap-vCaDZZbr.css	(from https://satumomen.com/preview/melayu)
11:19:45	6198/6198	---MCZ	200	added ('OK')	text/css	etag:W/%221446c779aaa9db2ce962c8076fb2a612%22	https://assets.satumomen.com/build/assets/themes-scroll-CXWhxC9B.css	D:/Copy-web/assets.satumomen.com/build/assets/themes-scroll-CXWhxC9B.css	(from https://satumomen.com/preview/melayu)
11:19:45	407/407	---MCZ	200	added ('OK')	text/css	etag:W/%2265ccea2a-197%22	https://satumomen.com/fonts/brigesta/fonts.css	D:/Copy-web/satumomen.com/fonts/brigesta/fonts.css	(from https://satumomen.com/preview/melayu)
11:19:45	359/359	---MCZ	200	added ('OK')	text/css	etag:W/%22676966df-167%22	https://satumomen.com/fonts/e111viva/style.css	D:/Copy-web/satumomen.com/fonts/e111viva/style.css	(from https://satumomen.com/preview/melayu)
11:19:45	409/409	---MCZ	200	added ('OK')	text/css	etag:W/%2264739ad6-199%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.css	D:/Copy-web/satumomen.com/fonts/brittany_signature/BrittanySignature.css	(from https://satumomen.com/preview/melayu)
11:19:46	161/161	---MCZ	200	added ('OK')	text/css	etag:W/%226494fa0e-a1%22	https://satumomen.com/fonts/photograph_signature/fonts.css	D:/Copy-web/satumomen.com/fonts/photograph_signature/fonts.css	(from https://satumomen.com/preview/melayu)
11:19:46	371/371	---MCZ	200	added ('OK')	text/css	etag:W/%2264739ad6-173%22	https://satumomen.com/fonts/heatwood/Heatwood.css	D:/Copy-web/satumomen.com/fonts/heatwood/Heatwood.css	(from https://satumomen.com/preview/melayu)
11:19:46	84345/84345	---M--	200	added ('OK')	image/png	etag:%2251a59aa792f03bbd418ff9954cf2e88f%22	https://assets.satumomen.com/images/galleries/611881-gallery-ZXZmVsvjzN.png	D:/Copy-web/assets.satumomen.com/images/galleries/611881-gallery-ZXZmVsvjzN.png	(from https://satumomen.com/preview/melayu)
11:19:46	261787/261787	---M--	200	added ('OK')	image/jpeg	etag:%2279916abd37a5191e7d0e1deb76cbe9a8%22	https://assets.satumomen.com/images/galleries/32840-gallery-1681321925.jpg	D:/Copy-web/assets.satumomen.com/images/galleries/32840-gallery-1681321925.jpg	(from https://satumomen.com/preview/melayu)
11:19:46	130906/130906	---M--	200	added ('OK')	image/png	etag:%22050d21105c14ed491c9b7e73e904a25e%22	https://assets.satumomen.com/assets/wanita-melayu-riau-1732097939.png	D:/Copy-web/assets.satumomen.com/assets/wanita-melayu-riau-1732097939.png	(from https://satumomen.com/preview/melayu)
11:19:47	4689/4689	---M--	200	added ('OK')	image/png	etag:%2266e64455-1251%22	https://satumomen.com/images/instagram.png	D:/Copy-web/satumomen.com/images/instagram.png	(from https://satumomen.com/preview/melayu)
